UNIQUE_ID,Hire
245203329,1.0
245255130,1.0
245127268,0.0
245117275,1.0
231615474,1.0
245225283,0.0
125594054,1.0
245217086,0.0
245101153,0.0
245129097,1.0
232621120,1.0
244994904,1.0
244991647,1.0
245185380,0.0
245091989,1.0
245096151,0.0
245079388,0.0
240065100,0.0
245144704,0.0
245026619,0.0
244961199,1.0
244997505,0.0
245085194,0.0
245229461,1.0
245192188,0.0
240788520,0.0
245206968,0.0
245061530,0.0
245216887,0.0
245152282,1.0
242906329,0.0
245061918,0.0
245108959,0.0
245112638,1.0
245015823,0.0
245124580,1.0
245100656,0.0
245136772,1.0
245235524,0.0
245161993,1.0
245134725,1.0
245073284,0.0
241596047,0.0
244989748,0.0
245155947,1.0
245191383,1.0
242882075,1.0
245098533,0.0
245015148,1.0
245219956,1.0
245088777,1.0
245119643,0.0
245204977,0.0
245026002,1.0
245186977,0.0
245107170,1.0
242129605,0.0
241092454,1.0
245206667,0.0
245268078,1.0
245023532,0.0
245094068,0.0
245085430,1.0
244231855,1.0
245230120,0.0
245075574,0.0
245211362,1.0
245171693,1.0
235264448,0.0
245161169,1.0
121734656,1.0
245059555,0.0
245085433,0.0
245002512,0.0
244967670,1.0
245153046,0.0
245107641,1.0
245122304,1.0
245117338,1.0
245173199,1.0
245113639,1.0
245220684,1.0
245264854,0.0
245222868,1.0
245242755,1.0
244991167,1.0
245102091,1.0
226381273,0.0
245198315,0.0
245080148,1.0
245160740,0.0
245135781,0.0
245171317,1.0
244964930,0.0
245196443,0.0
241986635,1.0
245090631,0.0
245195860,0.0
245195035,1.0
245080520,0.0
245065637,0.0
245207664,1.0
245237160,0.0
245068278,1.0
229905162,1.0
244952052,0.0
245083894,1.0
245141551,0.0
245168959,1.0
238696423,1.0
245123873,1.0
245033641,0.0
245118814,1.0
244960688,0.0
245122164,1.0
245122398,1.0
245100898,1.0
245202774,1.0
245226141,1.0
244519934,1.0
245135578,0.0
231415841,1.0
244987651,0.0
245081608,1.0
245226067,1.0
245139162,0.0
235890812,1.0
234973763,0.0
245151808,1.0
245167774,0.0
233048109,1.0
245075734,1.0
245222606,0.0
245071110,1.0
245096120,0.0
245091492,0.0
245073955,0.0
242971856,0.0
245171593,0.0
245217078,0.0
245084897,0.0
245094067,0.0
245207928,1.0
245113575,1.0
120606170,1.0
245166592,0.0
241995384,1.0
245225261,1.0
245211902,0.0
245198486,1.0
244957600,1.0
244945087,1.0
245066239,0.0
245094164,0.0
245060967,1.0
245057242,1.0
245141898,1.0
245160608,0.0
245133624,0.0
245159588,0.0
244982626,0.0
236796233,1.0
239598404,1.0
125984614,1.0
245178847,0.0
245172978,1.0
244973425,0.0
245105628,0.0
245051032,0.0
245050623,1.0
239173408,1.0
245046720,1.0
245085652,0.0
245084645,0.0
245032916,0.0
244961466,1.0
245112206,0.0
244967460,1.0
235137680,1.0
245176733,1.0
245036746,1.0
239583219,0.0
244959938,1.0
245064301,1.0
245030127,1.0
245105553,1.0
245187705,0.0
245169510,0.0
245220226,1.0
244995123,0.0
244958839,0.0
245142309,0.0
244992910,1.0
245035199,0.0
245084500,0.0
245123538,1.0
245069812,0.0
245085490,0.0
245023516,1.0
239474138,0.0
244945589,0.0
245144452,1.0
125329969,0.0
245052007,0.0
245274271,0.0
245041333,1.0
245202022,0.0
234596175,1.0
245100055,0.0
245008235,0.0
245247172,0.0
245175413,1.0
244930818,1.0
245187838,0.0
124007943,1.0
244154418,0.0
243391758,0.0
245067180,0.0
245074836,0.0
245022456,1.0
245111982,1.0
245116968,1.0
237890259,1.0
245216267,0.0
245033005,1.0
245142020,1.0
245154622,1.0
245155605,1.0
244968611,0.0
245181078,0.0
245130587,1.0
245171531,1.0
245117360,0.0
240008381,0.0
245144743,0.0
245191877,0.0
241774483,1.0
245060802,1.0
244981584,1.0
245226461,0.0
245227768,0.0
244935805,1.0
245174356,0.0
244961587,0.0
245152675,1.0
244987969,1.0
235593398,0.0
245109100,0.0
245243020,1.0
245051900,0.0
245145842,1.0
245166261,1.0
243009966,1.0
245033630,0.0
245102047,1.0
245192771,0.0
245116833,0.0
244987529,0.0
133910211,0.0
235384583,1.0
245179347,0.0
245057767,0.0
245052570,0.0
245133853,1.0
244163154,1.0
245165790,0.0
244977803,1.0
244964512,0.0
245211118,0.0
241982151,0.0
245171841,1.0
245108656,1.0
245127759,1.0
245167396,0.0
244998858,0.0
245122791,0.0
245135827,1.0
245212311,1.0
245064642,1.0
245186537,1.0
245212797,1.0
232417855,1.0
245109472,1.0
245170685,0.0
245152712,0.0
245155989,0.0
245162263,0.0
244937136,0.0
240572063,1.0
241590422,0.0
245146550,1.0
245115005,0.0
245119568,0.0
245073402,0.0
245067514,1.0
245207393,1.0
244985780,0.0
245127407,0.0
245144067,1.0
245005985,1.0
245261354,0.0
245130791,1.0
124682173,1.0
245139710,1.0
245081195,0.0
239610576,0.0
245065609,1.0
245107770,1.0
231025818,1.0
245001973,1.0
245154953,0.0
242288245,0.0
245170974,1.0
245211889,1.0
245146406,0.0
245046316,0.0
244973608,1.0
245224795,1.0
245114880,1.0
245148232,0.0
245224739,1.0
245133746,0.0
244935111,0.0
245225154,1.0
245056028,0.0
244937351,0.0
245129209,0.0
245242184,1.0
245096878,0.0
245140781,0.0
245179913,1.0
245166714,0.0
241338401,1.0
245108549,1.0
245062166,1.0
245080593,0.0
245085604,1.0
245150844,1.0
245086075,0.0
242521272,1.0
245008120,0.0
245206276,0.0
245206550,1.0
236248808,1.0
245113043,0.0
245007561,1.0
245207838,1.0
245260439,0.0
245260360,0.0
228365169,0.0
245150901,1.0
245092816,0.0
245075073,1.0
245123687,1.0
245175066,0.0
245059991,1.0
245208539,1.0
245033144,0.0
245148020,0.0
232121707,1.0
245167432,1.0
244965338,0.0
245086817,0.0
244049660,0.0
245147493,1.0
245112222,0.0
244169670,0.0
245152065,1.0
231577651,1.0
245115076,1.0
245096766,1.0
242445320,1.0
245175044,0.0
244950168,0.0
244662308,1.0
245185561,0.0
245128464,0.0
244998661,0.0
245216637,1.0
245196796,1.0
245042622,1.0
245192112,1.0
245074457,1.0
245043553,0.0
245144693,0.0
245245395,1.0
245005546,1.0
245012886,1.0
245179112,1.0
244982410,1.0
245169787,1.0
245078756,1.0
245102007,0.0
245196538,0.0
245181016,1.0
245090762,0.0
245091951,0.0
245133544,0.0
243026936,0.0
245057316,0.0
245067678,1.0
245166152,1.0
126151038,1.0
244956242,1.0
245165734,0.0
245031549,1.0
245226045,0.0
245166680,0.0
245124740,1.0
245151354,1.0
242758897,1.0
245195133,1.0
245175161,0.0
245093196,0.0
245179789,0.0
244940132,1.0
245129649,0.0
236698490,1.0
245139317,0.0
245187519,0.0
244968095,1.0
245060055,1.0
244964945,1.0
245205120,1.0
245028135,0.0
245113960,1.0
245081230,0.0
244957163,0.0
245043116,0.0
